id	title	date	repository	URL
BSR_00236d819379c1b98d349ee6c84d12ca	Honours for L. Silius Amicus Haterianus	Third century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT542.html
BSR_0027d5139bc03326d1295c2b37b942de	Fragmentary honours	Second century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT605.html
BSR_00a8f5795d12fade8d9c551cf88a1500	Fragmentary dedication to Septimius Severus	A.D. 201 or 202 (titulature)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT394.html
BSR_011832e54043aa162995dbaa78f17bf1	Building dedication to Tiberius for road paving	A.D. 35-36 (reign, titulature)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT331.html
BSR_012e008139adbc474d7964629662b506	Building dedication to Marcus Aurelius and Lucius Verus	A.D. 163-164 (reign, titulature)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT232.html
BSR_01509ada1ab13e8297925513f28f40a2	Fragmentary dedication to Claudius	A.D. 41-54. (reign)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT339.html
BSR_015ffb2bf00a7c76eb57be90329594be	Fragmentary dedication to Hadrian or Antoninus Pius	A.D. 117-161 (reign)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT379.html
BSR_0166fb401b59fabaa95bec539f940a69	Fragment	Second to third centuries (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT165.html
BSR_0253a74945aecc543f47f1f3945a53f6	Christian funerary inscription	Fifth century A.D. (context)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT834.html
BSR_0285f71519096c58d2be844dfec2f222	Dedication to Sarapis	Unknown	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT309.html
BSR_02d1827e95af60b9930e31acbee9a71b	Christian funerary inscription of Irene	Sixth-seventh century A.D. (context, form)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT209.html
BSR_02f242efe468dcfee7d599d1d0e812af	Fragmentary honours	not earlier than second century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT116.html
BSR_02fe3f5692123d9c46fc47aff240db42	Title for an image of Liber Pater, Amor and Apollo	Third century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT299.html
BSR_032c8eec319da34ab545ffe6427f7aaa	Dedication to Maximin the younger	A.D. 236 (from 452)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT453.html
BSR_03736924148d402edafc885e90d6a63d	Fragment	Fourth century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT771.html
BSR_03b8fd0e629fa6d9783155983c4a651e	Fragmentaryhonours	Third century A.D. (lettering.)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT556.html
BSR_03bd4eed967306d71790ec3af8d3d6dd	Dedication to Geta	Between 10th Dec 199 and 9th Dec 200 (titulature; from 390, 419).	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT433.html
BSR_041cef6e0a29e57c0eb3e2d0f8332b26	Christian funerary inscription of Theodorus	Fifth-seventh century A.D. (context, form)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT221.html
BSR_044aaee755aa5941803de9d85a21d889	Honours for C. Flavius Pudens	Second to third centuries A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT120.html
BSR_049e58bb0653d7715cc4f867864a236c	Fragment	Second to third centuries A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT698.html
BSR_04a90791869e67e1b6035f64db2e9908	Fragmentary funerary inscription of Aurellius Nazmuri	Third century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT891.html
BSR_053d9b6678748b1861e0ea3e07e031e9	Dedication to Septimius Severus	A.D. 198 (titulature)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT388.html
BSR_056d9471598620c84441670582f59365	Dedication to Antoninus Pius by Sabratha	circa A.D. 143 (titulature)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT018.html
BSR_05b84030c8a8da1c5be046fee4c16027	Dedication to Liber Pater	Fist century A.D. (language)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT294.html
BSR_05bcc83d087223842f61f78b281a0b13	Funerary inscription by Calpurnia Licina Sadith	Second to third century A.D. (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT676.html
BSR_060f132c729952066a5c386eeba29390	Fragmentary dedication	Second to third centuries (lettering)	British School at Rome	http://irt.kcl.ac.uk/irt2009/IRT701.html
ELTE_003d227dcd75519f88ed91130b80b1a4	altar dedicated to Iuppiter	232	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=46
ELTE_007e8864bbc9c54344405f4a884676c2	epitaph of M. Valerius Valerianus	193-235	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=85
ELTE_00ac3c5fe2ce49b66f735f2521a40a43	altar dedicated to Iuppiter Conservator	151-300	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=271
ELTE_015672b8e294d717b53371efabf514af			Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=471
ELTE_018d214b1d385a9e5ffaf014b3710b00			Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=473
ELTE_0283379b8c43b192c0d7131124b5eaa4	epitaph raised by Caecilius Rufus	151 AD – 300 AD	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=343
ELTE_03980be0673822e07efde38055318ba3	epitaph of Publio Senecionius Lucianus	193-235	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=22
ELTE_03d0e49e7e39c6dc0410e3c48380879e	epitaph of Flavius? [---]		Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=351
ELTE_03e2e63c5e557f6b7b0aa9a5f22bf274	altar dedicated to Minerva	151-300	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=119
ELTE_03e36e2ccff3df355ecfc65db3627ab9	dedicatory altar of Claudius Pusinnius and Aurelius Eutuches	151-300	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=129
ELTE_05186e3b71f8d2a208118b1b85dfc641			Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=496
ELTE_06074c55d8cd6b411387d8c8185b0a27	glas paste of a coin		Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=384
ELTE_0733dcd2dd0fe1e595b10d0bb4913084	milestone from the time of the Severan dynasty	193-235	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=67
ELTE_077620b8e17ccda0225cd8d9f26fe88a	epitaph of Aelius Marinius	151-300	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=207
ELTE_078b6338fb975366be107533fd92bf6c	altar dedicated to Silvanus Domesticus	201-300	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=128
ELTE_084ea6812e28da92829baef8e4499f33	epitaph of Titus Atonius Fortunatus	200-250	Eötvös Loránd Tudományegyetem	http://regeszet.elte.hu/eagle/index.php?id=183
