"Number of tokens" File
0 UOXF_031874f728ea77e2169cfafac18d9d5e.txt
0 UOXF_03735eb1c9d6a59614c36dd1b0fb53e9.txt
0 UOXF_03934c6ab147f7f4ed5714d9b02cacf9.txt
1 AUSONIUS_014056a202e6d8dccb693fded5bff4e4.txt
1 AUSONIUS_01a100780a98470d3a45039f025008ae.txt
1 AUSONIUS_02d2ae0358f3d012b3b73d1c887ae2ce.txt
1 AUSONIUS_02e3256850578798e45e23e45e3d4cd6.txt
1 AUSONIUS_045bfc5d8074ef86fc680c366f5b351e.txt
1 AUSONIUS_04feaa94471e8a55fb1be6cfff7a047c.txt
1 EDB_0006aabe0ba47a35c0b0bf6596f85159.txt
1 EDB_00126b47d5502dfb7d01f750ad23d813.txt
1 EDB_001b8e3cf76f4e64cbe5be9882db4aa0.txt
1 EDB_00368789723d67f4d768abd29b985b24.txt
1 EDB_00411460f7c92d2124a67ea0f4cb5f85.txt
1 EDB_0044deeec43ded19b952125079eb1781.txt
1 EDB_004881ebe3826cf16cfd124968f2a5bb.txt
1 EDB_004dbbb73c0e3933d191fa195500d018.txt
1 EDH_002236f690e7ce527f1424cfbe8123ab.txt
1 EDR_00183ccb6b553ff3369bd45e4c2348ac.txt
1 ELTE_018d214b1d385a9e5ffaf014b3710b00.txt
1 ELTE_06074c55d8cd6b411387d8c8185b0a27.txt
1 IMJ_07d2d6af2965b2ebe5bf10297f9a7472.txt
1 IMJ_2f2309f7caf6c4b3a5a5208a1458ef52.txt
1 IMJ_3a425d9dc90ba47368feb3e1a6eead0b.txt
1 IMJ_406f4fcaec9329055b2f61aad3f1f64c.txt
1 IMJ_c1f518c1071db02ffdf9bf9df176aadd.txt
1 RIB_019d385eb67632a7e958e23f24bd07d7.txt
1 RIB_02e656adee09f8394b402d9958389b7d.txt
1 RIB_03afdbd66e7929b125f8597834fa83a4.txt
1 RIB_03e7d2ebec1e820ac34d054df7e68f48.txt
1 SAZU_1d36827438f7c5f3006be199f976cdf9.txt
1 UAH_000c076c390a4c357313fca29e390ece.txt
1 UAH_000e82a96e908e73372bed4e5cb98096.txt
1 UAH_0014fcb3db4c8459d26309b177005b10.txt
1 UAH_0023daa5a44ef6fbe42379f24e00254c.txt
1 UBB_005964b60bfff834de028d4705706247.txt
1 UBB_020699b6f3bdfad59d12a86d8d2dfc36.txt
1 UNIPU_0605af430ed442a9abfad18b5fe1e366.txt
1 VND_00411460f7c92d2124a67ea0f4cb5f85.txt
1 VND_00ec53c4682d36f5c4359f4ae7bd7ba1.txt
1 VND_013a006f03dbc5392effeb8f18fda755.txt
1 VND_02a32ad2669e6fe298e607fe7cc0e1a0.txt
1 VND_0353ab4cbed5beae847a7ff6e220b5cf.txt
1 VND_0584ce565c824b7b7f50282d9a19945b.txt
1 VND_0777d5c17d4066b82ab86dff8a46af6f.txt
1 VND_0c74b7f78409a4022a2c4c5a5ca3ee19.txt
2 AUSONIUS_00dba501526cc47d5ccb50d55198272f.txt
2 AUSONIUS_0296568a711b6d13a5a4317446477b13.txt
2 EDB_0002ac0d783338cfeab0b2bdbd872cda.txt
2 EDB_0006dd05ea1e999ddaa041a7091b7b36.txt
2 EDB_0007cda84fafdcf42f96c4f4adb7f8ce.txt
2 EDB_000c076c390a4c357313fca29e390ece.txt
2 EDB_000cb7efa8a05429dd5309b4bea2eb0c.txt
2 EDB_000e82a96e908e73372bed4e5cb98096.txt
2 EDB_0014fcb3db4c8459d26309b177005b10.txt
2 EDB_00482b9bed15a272730fcb590ffebddd.txt
2 EDB_004a68efcee088ddeaaca5c5a3afaa2f.txt
2 EDB_004eef55e164cde4b29b93bd64c6d468.txt
2 EDH_000119f7528b53df4f6990cbef5da3cc.txt
2 EDH_000fe15e22297ffb3172f7f7eb9afc3b.txt
2 EDH_001a84453c27cd8f8e9cbbaec7bc5dad.txt
2 EDH_0023b4624309259482ab3fbd29a4579b.txt
2 EDR_001839fdf69797becfb213ffa4a7252f.txt
2 EDR_001a23c5adc0d93da94a8fbcba55fcf7.txt
2 ELTE_0b111c30c6b835353435fbadfb0ccff1.txt
2 IMJ_4ecf21c255429f1dce737af8f485d136.txt
2 RIB_01d8bae291b1e4724443375634ccfa0e.txt
2 SAZU_0661a3018e4fae17d040a5cff950f9b6.txt
2 SAZU_10b65e60d2a6794413dfbda60a56f30d.txt
2 UAH_0006aabe0ba47a35c0b0bf6596f85159.txt
2 UAH_002c3a40ac50dc870f1ff386f11f5bae.txt
2 UBB_03419e0a89f7a44de21e41fdfd948a9c.txt
2 UBB_0578caf8f2de673f22b283c51bdd6e14.txt
2 UBB_06d7b2cfc52b1cfc0e0568808ea5d947.txt
2 UBB_074cc0d3a62349d7978870f853d3ee3f.txt
2 UNIPU_00c448b1333923dadeb9da11b77895fa.txt
2 UNIPU_024af6f1201c8c63bf2e7a916703766e.txt
2 UNIPU_04cf1f6f534b96955c414ee246c0bcf0.txt
2 VND_019d385eb67632a7e958e23f24bd07d7.txt
2 VND_0537fb40a68c18da59a35c2bfe1ca554.txt
3 AUSONIUS_0016af6280ab16d6926e8d70b3fd8096.txt
3 AUSONIUS_0200cfa2689227b9ad6cf433921d2411.txt
3 AUSONIUS_02336200393ef71a7d7faaeaa04bec6c.txt
3 AUSONIUS_02d674f894fc6468b2e8c94c2e53ea7b.txt
3 AUSONIUS_037c192a108cec66b91a78fe13b43d33.txt
3 AUSONIUS_06667a73bfc76259b31b1675dd3baec4.txt
3 BSR_0166fb401b59fabaa95bec539f940a69.txt
3 EDB_00185f45337c418db73f253e8b967c6c.txt
3 EDB_001c728a3046207c685f7f478f4bb41b.txt
3 EDB_001d908c7637618bb0a8af0c8be5cd41.txt
3 EDB_002f9c8cee878b64a747a2c211da7d83.txt
3 EDH_001a84dfe10283c0eb688c3436be5e4c.txt
